date,vendor_id,product_id,purchase_price,reliability_score,lead_time_days,market_index
2023-01-01,VEN-0021,PRD-00103,132.26,100.0,5,101.47
2023-02-01,VEN-0021,PRD-00103,138.51,99.9,13,100.71
2023-03-01,VEN-0021,PRD-00103,127.44,98.0,11,101.05
2023-04-01,VEN-0021,PRD-00103,128.47,100.0,8,101.6
2023-05-01,VEN-0021,PRD-00103,129.49,100.0,4,100.19
2023-06-01,VEN-0021,PRD-00103,135.29,99.3,13,100.15
2023-07-01,VEN-0021,PRD-00103,126.17,99.7,9,99.73
2023-08-01,VEN-0021,PRD-00103,124.41,98.3,12,99.36
2023-09-01,VEN-0021,PRD-00103,129.89,98.6,3,100.93
2023-10-01,VEN-0021,PRD-00103,132.3,100.0,8,100.82
2023-11-01,VEN-0021,PRD-00103,126.55,99.2,5,100.32
2023-12-01,VEN-0021,PRD-00103,130.17,100.0,4,99.64
2024-01-01,VEN-0021,PRD-00103,125.92,100.0,3,99.09
2024-02-01,VEN-0021,PRD-00103,129.89,100.0,13,98.63
2024-03-01,VEN-0021,PRD-00103,129.47,98.9,3,98.53
2024-04-01,VEN-0021,PRD-00103,131.78,100.0,10,101.37
2024-05-01,VEN-0021,PRD-00103,137.04,100.0,4,103.24
2024-06-01,VEN-0021,PRD-00103,133.49,98.5,4,103.77
2024-07-01,VEN-0021,PRD-00103,138.15,100.0,11,104.78
2024-08-01,VEN-0021,PRD-00103,132.91,98.9,11,103.67
2024-09-01,VEN-0021,PRD-00103,135.06,100.0,6,102.82
2024-10-01,VEN-0021,PRD-00103,133.63,99.8,13,101.9
2024-11-01,VEN-0021,PRD-00103,130.1,100.0,3,100.05
2024-12-01,VEN-0021,PRD-00103,130.09,100.0,13,98.38
2023-01-01,VEN-0021,PRD-00047,23.71,100.0,6,100.57
2023-02-01,VEN-0021,PRD-00047,24.08,96.0,4,102.05
2023-03-01,VEN-0021,PRD-00047,23.65,97.4,8,103.43
2023-04-01,VEN-0021,PRD-00047,25.08,96.2,10,103.69
2023-05-01,VEN-0021,PRD-00047,23.48,98.3,9,102.81
2023-06-01,VEN-0021,PRD-00047,24.05,98.1,11,103.88
2023-07-01,VEN-0021,PRD-00047,23.88,99.5,4,103.46
2023-08-01,VEN-0021,PRD-00047,24.64,100.0,3,104.0
2023-09-01,VEN-0021,PRD-00047,24.34,99.3,10,104.12
2023-10-01,VEN-0021,PRD-00047,24.79,100.0,3,105.22
2023-11-01,VEN-0021,PRD-00047,24.88,100.0,5,105.38
