date,product_sku,product_name,category,transaction_type,quantity_change,location,day_of_week,month,quarter,year
2012-02-28,PRD-00171,Assembly Unit X Variant 11,Finished Goods,RECEIPT,221.0,Main Warehouse,1,2,1,2012
2013-03-20,PRD-00259,Bearing Type 1 Variant 19,Components,TRANSFER,57.0,Main Warehouse,2,3,1,2013
2013-03-24,PRD-00259,Bearing Type 1 Variant 19,Components,DELIVERY,-64.8,Production Floor 1,6,3,1,2013
2013-03-24,PRD-00354,Control Unit Variant 14,Components,DELIVERY,-68.0,Production Floor 1,6,3,1,2013
2013-03-24,PRD-00355,Control Unit Variant 15,Components,DELIVERY,-42.6,Production Floor 1,6,3,1,2013
2013-03-28,PRD-00359,Control Unit Variant 19,Components,RECEIPT,365.0,Main Warehouse,3,3,1,2013
2013-03-28,PRD-00250,Bearing Type 1 Variant 10,Components,RECEIPT,412.0,Main Warehouse,3,3,1,2013
2013-03-28,PRD-00140,Widget Model A Variant 20,Finished Goods,RECEIPT,89.0,Main Warehouse,3,3,1,2013
2013-04-10,PRD-00315,Motor 12V Variant 15,Components,RECEIPT,265.0,Rack B,2,4,2,2013
2013-04-10,PRD-00090,Titanium Alloy Variant 15,Raw Materials,RECEIPT,207.0,Rack B,2,4,2,2013
2013-04-10,PRD-00416,Cleaning Solution Variant 25,Consumables,RECEIPT,112.0,Rack B,2,4,2,2013
2013-04-10,PRD-00143,Widget Model B Variant 3,Finished Goods,RECEIPT,247.0,Rack B,2,4,2,2013
2013-04-10,PRD-00247,Bearing Type 1 Variant 7,Components,RECEIPT,346.0,Rack B,2,4,2,2013
2013-04-22,PRD-00097,Carbon Fiber Variant 7,Raw Materials,RECEIPT,253.0,Rack A,0,4,2,2013
2013-04-22,PRD-00337,Sensor Module Variant 17,Components,RECEIPT,322.0,Rack A,0,4,2,2013
2013-05-11,PRD-00097,Carbon Fiber Variant 7,Raw Materials,DELIVERY,-75.9,Rack A,5,5,2,2013
2013-05-13,PRD-00328,Sensor Module Variant 8,Components,RECEIPT,466.0,Main Warehouse,0,5,2,2013
2013-05-13,PRD-00416,Cleaning Solution Variant 25,Consumables,RECEIPT,147.0,Main Warehouse,0,5,2,2013
2013-05-13,PRD-00363,Lubricant Oil Variant 3,Consumables,RECEIPT,212.0,Main Warehouse,0,5,2,2013
2013-05-13,PRD-00101,Carbon Fiber Variant 11,Raw Materials,RECEIPT,433.0,Main Warehouse,0,5,2,2013
2013-05-22,PRD-00430,Packaging Tape Variant 8,Consumables,RECEIPT,221.0,Main Warehouse,2,5,2,2013
2013-06-10,PRD-00166,Assembly Unit X Variant 6,Finished Goods,RECEIPT,87.0,Production Floor 1,0,6,2,2013
2013-06-10,PRD-00201,Premium Widget,Finished Goods,RECEIPT,81.0,Production Floor 1,0,6,2,2013
2013-06-10,PRD-00345,Control Unit Variant 5,Components,RECEIPT,287.0,Production Floor 1,0,6,2,2013
2012-02-28,PRD-00091,Carbon Fiber,Raw Materials,RECEIPT,353.0,Main Warehouse,1,2,1,2012
2012-02-28,PRD-00114,Stainless Steel Variant 9,Raw Materials,RECEIPT,288.0,Main Warehouse,1,2,1,2012
2012-05-29,PRD-00095,Carbon Fiber Variant 5,Raw Materials,RECEIPT,389.0,Main Warehouse,1,5,2,2012
2012-05-29,PRD-00446,Packaging Tape Variant 24,Consumables,RECEIPT,201.0,Main Warehouse,1,5,2,2012
2012-05-29,PRD-00343,Control Unit Variant 3,Components,RECEIPT,394.0,Main Warehouse,1,5,2,2012
2012-05-29,PRD-00294,Circuit Board Variant 14,Components,RECEIPT,92.0,Main Warehouse,1,5,2,2012
2012-05-29,PRD-00113,Stainless Steel Variant 8,Raw Materials,RECEIPT,476.0,Main Warehouse,1,5,2,2012
2013-01-28,PRD-00354,Control Unit Variant 14,Components,RECEIPT,473.0,Production Floor 1,0,1,1,2013
2013-01-28,PRD-00355,Control Unit Variant 15,Components,RECEIPT,167.0,Production Floor 1,0,1,1,2013
2013-01-28,PRD-00259,Bearing Type 1 Variant 19,Components,RECEIPT,436.0,Production Floor 1,0,1,1,2013
2013-02-13,PRD-00355,Control Unit Variant 15,Components,DELIVERY,-15.0,Production Floor 1,2,2,1,2013
2013-02-13,PRD-00259,Bearing Type 1 Variant 19,Components,DELIVERY,-94.0,Production Floor 1,2,2,1,2013
2013-03-01,PRD-00355,Control Unit Variant 15,Components,DELIVERY,-10.0,Production Floor 1,4,3,1,2013
